r,t,residuals
United States,10,0.007797852832269067
United States,11,2.943206421480993e-4
United States,12,0.0014704337242216828
United States,13,0.0012055651766358227
United States,14,-0.006991680529998191
United States,15,-0.00612822633781103
United States,16,-0.002800994558942546
United States,17,-0.002830392297749146
United States,18,-0.002624511015276068
United States,19,-0.008336459681216851
United States,20,-0.004800441996930083
United States,21,-0.006148173291877945
United States,22,0.016144179185877627
United States,23,0.006511834087783608
Western Africa,1,0.014484270143641509
Western Africa,2,-0.021026158661402006
Western Africa,3,-0.004062532783773887
Western Africa,4,0.0022857755243550493
Western Africa,5,0.00905982787932108
Western Africa,6,0.0027749841326992764
Western Africa,7,-0.03475227719127455
Western Africa,8,-0.017794555542307272
Western Africa,9,-0.005529705554436021
Western Africa,10,0.03137702283207276
Western Africa,11,0.01775261241319269
Western Africa,12,-0.011507869738896673
Western Africa,13,-0.0232817553707039
Western Africa,14,-0.010248162029317928
Western Africa,15,0.012336563466158301
Western Africa,16,0.024380867350366264
Western Africa,17,-0.006358361807037249
Western Africa,18,0.04657356880208591
Western Africa,19,0.03458226606198769
Western Africa,20,0.022440981048202635
Western Africa,21,-0.004310160303329813
Western Africa,22,-0.03517998864362354
Western Africa,23,-0.03667186834403885
