r,t,fitted
United Kingdom,5,0.912893407552647
United Kingdom,6,0.9375836079996599
United Kingdom,7,0.9594231528662543
United Kingdom,8,0.9781057839619539
United Kingdom,9,0.9861515940955935
United Kingdom,10,0.9350488134910344
United Kingdom,11,0.9741689397981436
United Kingdom,12,0.9518104742227609
United Kingdom,13,0.9816597614163552
United Kingdom,14,1.0036876353405895
United Kingdom,15,1.0127639940290625
United Kingdom,16,1.0555780844330171
United Kingdom,17,1.091041402408752
United Kingdom,18,1.111633118255584
United Kingdom,19,1.1321072184281238
United Kingdom,20,1.1474202052974192
United Kingdom,21,1.0781231240882896
United Kingdom,22,1.1289513097306612
United Kingdom,23,1.1412413401417223
United States,1,0.8042709021530126
United States,2,0.8132439945595784
United States,3,0.8226857116948649
United States,4,0.8426949753906219
United States,5,0.8707894581082984
United States,6,0.9034376908508737
United States,7,0.9313282647939984
United States,8,0.9508698411313317
United States,9,0.9509886144563938
United States,10,0.9211203791796073
United States,11,0.9530710188888148
United States,12,0.9668430986723828
United States,13,0.9892372228918601
United States,14,1.0185023834202362
United States,15,1.043306297109109
United States,16,1.0704697754116688
United States,17,1.0899785435891054
United States,18,1.11653617869745
United States,19,1.1562438615539807
United States,20,1.181932448136503
United States,21,1.1579264110606187
United States,22,1.2009664793587005
United States,23,1.2430553260394372
Western Africa,1,0.5104152605185514
Western Africa,2,0.5532581051822315
Western Africa,3,0.5974494433687598
Western Africa,4,0.6255732826165986
Western Africa,5,0.6656740865362137
Western Africa,6,0.7073009623237599
Western Africa,7,0.77592429306134
Western Africa,8,0.8038373407769558
Western Africa,9,0.8449003161064765
Western Africa,10,0.8657926004970599
Western Africa,11,0.9426340232356991
Western Africa,12,1.0195220166789447
Western Africa,13,1.0836930964094194
Western Africa,14,1.141241642041748
Western Africa,15,1.1808570970263161
Western Africa,16,1.2036797869105165
Western Africa,17,1.2511629379945135
Western Africa,18,1.2226192108857388
Western Africa,19,1.2785177195371105
Western Africa,20,1.3409579915287793
Western Africa,21,1.367632705803919
Western Africa,22,1.472282990556197
Western Africa,23,1.5330364336080737
